27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
27,27,27,27,27,27,0,0,0,0,0,0,27,27,27,27,27,27
27,27,27,27,27,27,21,21,21,21,21,3,27,27,27,27,27,27
27,27,27,27,27,27,6,7,7,7,7,8,27,27,27,27,27,27
27,27,27,27,27,27,19,20,19,20,19,20,27,27,27,27,27,27
27,27,27,27,27,27,2,24,25,21,21,15,27,27,27,27,27,27
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
